algorithm,omp_num_threads,replication,time
mandelbrot,1,1,20.8521
stencil2d,1,1,16.7392
mandelbrot,1,2,20.8522
stencil2d,1,2,16.8044
mandelbrot,1,3,20.8772
stencil2d,1,3,16.7216
mandelbrot,1,4,20.8768
stencil2d,1,4,16.7376
mandelbrot,1,5,20.8597
stencil2d,1,5,16.8049
mandelbrot,1,6,20.8521
stencil2d,1,6,16.808
mandelbrot,1,7,20.879
stencil2d,1,7,16.7312
mandelbrot,1,8,20.8746
stencil2d,1,8,16.785
mandelbrot,1,9,20.8752
stencil2d,1,9,16.8107
mandelbrot,1,10,20.852
stencil2d,1,10,16.8032
mandelbrot,2,1,10.5064
stencil2d,2,1,9.21457
mandelbrot,2,2,10.5826
stencil2d,2,2,9.19495
mandelbrot,2,3,10.5284
stencil2d,2,3,9.19257
mandelbrot,2,4,10.5489
stencil2d,2,4,9.165
mandelbrot,2,5,10.5483
stencil2d,2,5,9.19278
mandelbrot,2,6,10.5315
stencil2d,2,6,9.2035
mandelbrot,2,7,10.5275
stencil2d,2,7,9.17797
mandelbrot,2,8,10.5679
stencil2d,2,8,9.18025
mandelbrot,2,9,10.4887
stencil2d,2,9,9.21289
mandelbrot,2,10,10.5578
stencil2d,2,10,9.15967
mandelbrot,4,1,5.26121
stencil2d,4,1,5.22892
mandelbrot,4,2,5.26478
stencil2d,4,2,5.30071
mandelbrot,4,3,5.24968
stencil2d,4,3,5.2835
mandelbrot,4,4,5.26763
stencil2d,4,4,5.29805
mandelbrot,4,5,5.2561
stencil2d,4,5,5.33808
mandelbrot,4,6,5.26116
stencil2d,4,6,5.31228
mandelbrot,4,7,5.3232
stencil2d,4,7,5.13128
mandelbrot,4,8,5.26129
stencil2d,4,8,5.29104
mandelbrot,4,9,5.23869
stencil2d,4,9,5.28291
mandelbrot,4,10,5.33515
stencil2d,4,10,5.30861
mandelbrot,8,1,2.91823
stencil2d,8,1,3.38154
mandelbrot,8,2,2.92239
stencil2d,8,2,3.40815
mandelbrot,8,3,2.91976
stencil2d,8,3,3.42647
mandelbrot,8,4,2.93574
stencil2d,8,4,3.43438
mandelbrot,8,5,2.9304
stencil2d,8,5,3.38074
mandelbrot,8,6,2.92011
stencil2d,8,6,3.40023
mandelbrot,8,7,2.92689
stencil2d,8,7,3.38987
mandelbrot,8,8,2.92771
stencil2d,8,8,3.39181
mandelbrot,8,9,2.95238
stencil2d,8,9,3.45832
mandelbrot,8,10,2.92991
stencil2d,8,10,3.41844
mandelbrot,10,1,2.42757
stencil2d,10,1,3.13
mandelbrot,10,2,2.42685
stencil2d,10,2,3.12771
mandelbrot,10,3,2.42681
stencil2d,10,3,3.11332
mandelbrot,10,4,2.42596
stencil2d,10,4,3.15839
mandelbrot,10,5,2.43191
stencil2d,10,5,3.13859
mandelbrot,10,6,2.42505
stencil2d,10,6,3.12033
mandelbrot,10,7,2.42653
stencil2d,10,7,3.13378
mandelbrot,10,8,2.4257
stencil2d,10,8,3.1243
mandelbrot,10,9,2.42701
stencil2d,10,9,3.12874
mandelbrot,10,10,2.4273
stencil2d,10,10,3.12779
mandelbrot,16,1,1.5253
stencil2d,16,1,2.9337
mandelbrot,16,2,1.52415
stencil2d,16,2,2.95191
mandelbrot,16,3,1.52529
stencil2d,16,3,2.93897
mandelbrot,16,4,1.52561
stencil2d,16,4,2.95812
mandelbrot,16,5,1.52443
stencil2d,16,5,2.95337
mandelbrot,16,6,1.52333
stencil2d,16,6,2.95317
mandelbrot,16,7,1.52951
stencil2d,16,7,2.96805
mandelbrot,16,8,1.52554
stencil2d,16,8,2.9543
mandelbrot,16,9,1.5243
stencil2d,16,9,2.94965
mandelbrot,16,10,1.52566
stencil2d,16,10,2.91888
mandelbrot,20,1,1.22674
stencil2d,20,1,2.94995
mandelbrot,20,2,1.22615
stencil2d,20,2,2.94473
mandelbrot,20,3,1.22624
stencil2d,20,3,2.96335
mandelbrot,20,4,1.28314
stencil2d,20,4,2.94948
mandelbrot,20,5,1.22599
stencil2d,20,5,2.92234
mandelbrot,20,6,1.225
stencil2d,20,6,2.92875
mandelbrot,20,7,1.22574
stencil2d,20,7,2.95133
mandelbrot,20,8,1.22532
stencil2d,20,8,2.96831
mandelbrot,20,9,1.22509
stencil2d,20,9,2.9547
mandelbrot,20,10,1.22503
stencil2d,20,10,2.96285
mandelbrot,32,1,1.16981
stencil2d,32,1,3.11178
mandelbrot,32,2,1.15412
stencil2d,32,2,3.07191
mandelbrot,32,3,1.14787
stencil2d,32,3,3.07878
mandelbrot,32,4,1.14895
stencil2d,32,4,3.1099
mandelbrot,32,5,1.14668
stencil2d,32,5,3.1073
mandelbrot,32,6,1.14745
stencil2d,32,6,3.11412
mandelbrot,32,7,1.14794
stencil2d,32,7,3.09976
mandelbrot,32,8,1.1643
stencil2d,32,8,3.09967
mandelbrot,32,9,1.15819
stencil2d,32,9,3.11484
mandelbrot,32,10,1.14544
stencil2d,32,10,3.10941
mandelbrot,40,1,1.10229
stencil2d,40,1,2.97475
mandelbrot,40,2,1.10137
stencil2d,40,2,3.00518
mandelbrot,40,3,1.10216
stencil2d,40,3,2.9696
mandelbrot,40,4,1.10424
stencil2d,40,4,3.08429
mandelbrot,40,5,1.11516
stencil2d,40,5,3.33369
mandelbrot,40,6,1.13531
stencil2d,40,6,3.31398
mandelbrot,40,7,1.09857
stencil2d,40,7,3.06883
mandelbrot,40,8,1.10346
stencil2d,40,8,3.07518
mandelbrot,40,9,1.1008
stencil2d,40,9,2.97288
mandelbrot,40,10,1.10015
stencil2d,40,10,2.9716
mandelbrot,64,1,1.17291
stencil2d,64,1,2.97974
mandelbrot,64,2,1.17353
stencil2d,64,2,3.15169
mandelbrot,64,3,1.13967
stencil2d,64,3,3.30407
mandelbrot,64,4,1.10952
stencil2d,64,4,3.29165
mandelbrot,64,5,1.1078
stencil2d,64,5,3.19496
mandelbrot,64,6,1.12388
stencil2d,64,6,2.98618
mandelbrot,64,7,1.13776
stencil2d,64,7,3.17782
mandelbrot,64,8,1.11057
stencil2d,64,8,3.1329
mandelbrot,64,9,1.11782
stencil2d,64,9,3.22724
mandelbrot,64,10,1.13513
stencil2d,64,10,3.1742
