algorithm,omp_schedule,chunk,replication,time
mandelbrot,static,1,1,1.32554
stencil2d,static,1,1,3.40112
mandelbrot,static,1,2,1.22623
stencil2d,static,1,2,3.44522
mandelbrot,static,1,3,1.22574
stencil2d,static,1,3,3.4016
mandelbrot,static,1,4,1.22553
stencil2d,static,1,4,3.40411
mandelbrot,static,1,5,1.22575
stencil2d,static,1,5,3.5049
mandelbrot,static,1,6,1.50869
stencil2d,static,1,6,3.61499
mandelbrot,static,1,7,1.35191
stencil2d,static,1,7,3.36305
mandelbrot,static,1,8,1.22642
stencil2d,static,1,8,3.48472
mandelbrot,static,1,9,1.22628
stencil2d,static,1,9,3.40539
mandelbrot,static,1,10,1.30156
stencil2d,static,1,10,3.39597
mandelbrot,static,2,1,1.22743
stencil2d,static,2,1,2.85132
mandelbrot,static,2,2,1.2261
stencil2d,static,2,2,2.95524
mandelbrot,static,2,3,1.71182
stencil2d,static,2,3,2.82253
mandelbrot,static,2,4,1.22589
stencil2d,static,2,4,2.83445
mandelbrot,static,2,5,1.2268
stencil2d,static,2,5,2.84459
mandelbrot,static,2,6,1.22648
stencil2d,static,2,6,2.97765
mandelbrot,static,2,7,1.22685
stencil2d,static,2,7,2.95273
mandelbrot,static,2,8,1.22646
stencil2d,static,2,8,2.96989
mandelbrot,static,2,9,1.22638
stencil2d,static,2,9,2.86401
mandelbrot,static,2,10,1.45842
stencil2d,static,2,10,3.04892
mandelbrot,static,4,1,1.23475
stencil2d,static,4,1,2.55595
mandelbrot,static,4,2,1.23479
stencil2d,static,4,2,2.66918
mandelbrot,static,4,3,1.23521
stencil2d,static,4,3,2.60331
mandelbrot,static,4,4,1.23531
stencil2d,static,4,4,2.54234
mandelbrot,static,4,5,1.23491
stencil2d,static,4,5,2.54105
mandelbrot,static,4,6,1.2342
stencil2d,static,4,6,2.58189
mandelbrot,static,4,7,1.23494
stencil2d,static,4,7,2.67055
mandelbrot,static,4,8,1.70445
stencil2d,static,4,8,2.58096
mandelbrot,static,4,9,1.23585
stencil2d,static,4,9,2.54121
mandelbrot,static,4,10,1.23463
stencil2d,static,4,10,2.54551
mandelbrot,static,8,1,1.2382
stencil2d,static,8,1,2.41058
mandelbrot,static,8,2,1.23837
stencil2d,static,8,2,2.4092
mandelbrot,static,8,3,1.23771
stencil2d,static,8,3,2.35533
mandelbrot,static,8,4,1.24076
stencil2d,static,8,4,2.3476
mandelbrot,static,8,5,1.32743
stencil2d,static,8,5,2.48289
mandelbrot,static,8,6,1.71031
stencil2d,static,8,6,2.39371
mandelbrot,static,8,7,1.23897
stencil2d,static,8,7,2.32975
mandelbrot,static,8,8,1.23842
stencil2d,static,8,8,2.37689
mandelbrot,static,8,9,1.23897
stencil2d,static,8,9,2.41075
mandelbrot,static,8,10,1.23767
stencil2d,static,8,10,2.35698
mandelbrot,static,16,1,1.27553
stencil2d,static,16,1,2.13087
mandelbrot,static,16,2,1.27528
stencil2d,static,16,2,2.15242
mandelbrot,static,16,3,1.27512
stencil2d,static,16,3,2.18017
mandelbrot,static,16,4,1.28656
stencil2d,static,16,4,2.58992
mandelbrot,static,16,5,1.47553
stencil2d,static,16,5,2.24956
mandelbrot,static,16,6,1.27635
stencil2d,static,16,6,2.13193
mandelbrot,static,16,7,1.27593
stencil2d,static,16,7,2.24042
mandelbrot,static,16,8,1.33861
stencil2d,static,16,8,2.13359
mandelbrot,static,16,9,1.27575
stencil2d,static,16,9,2.1687
mandelbrot,static,16,10,1.3015
stencil2d,static,16,10,2.14891
mandelbrot,static,32,1,1.28724
stencil2d,static,32,1,1.99012
mandelbrot,static,32,2,1.2881
stencil2d,static,32,2,2.04615
mandelbrot,static,32,3,1.54259
stencil2d,static,32,3,2.43511
mandelbrot,static,32,4,1.28672
stencil2d,static,32,4,1.97095
mandelbrot,static,32,5,1.2871
stencil2d,static,32,5,1.94806
mandelbrot,static,32,6,1.28736
stencil2d,static,32,6,1.94037
mandelbrot,static,32,7,1.28767
stencil2d,static,32,7,1.98189
mandelbrot,static,32,8,1.29045
stencil2d,static,32,8,1.94973
mandelbrot,static,32,9,1.28814
stencil2d,static,32,9,2.01935
mandelbrot,static,32,10,1.28712
stencil2d,static,32,10,1.99627
mandelbrot,static,64,1,1.62034
stencil2d,static,64,1,1.982
mandelbrot,static,64,2,1.63548
stencil2d,static,64,2,2.36607
mandelbrot,static,64,3,1.61756
stencil2d,static,64,3,1.92811
mandelbrot,static,64,4,1.61787
stencil2d,static,64,4,2.03106
mandelbrot,static,64,5,1.61719
stencil2d,static,64,5,1.93687
mandelbrot,static,64,6,1.61787
stencil2d,static,64,6,1.92365
mandelbrot,static,64,7,1.61772
stencil2d,static,64,7,1.93661
mandelbrot,static,64,8,1.61743
stencil2d,static,64,8,1.93361
mandelbrot,static,64,9,1.61617
stencil2d,static,64,9,1.92507
mandelbrot,static,64,10,1.62468
stencil2d,static,64,10,2.39033
mandelbrot,dynamic,1,1,1.27748
stencil2d,dynamic,1,1,2.92996
mandelbrot,dynamic,1,2,1.22629
stencil2d,dynamic,1,2,2.98372
mandelbrot,dynamic,1,3,1.22399
stencil2d,dynamic,1,3,2.95138
mandelbrot,dynamic,1,4,1.22454
stencil2d,dynamic,1,4,2.91981
mandelbrot,dynamic,1,5,1.22573
stencil2d,dynamic,1,5,2.90368
mandelbrot,dynamic,1,6,1.22858
stencil2d,dynamic,1,6,2.9505
mandelbrot,dynamic,1,7,1.22535
stencil2d,dynamic,1,7,2.95521
mandelbrot,dynamic,1,8,1.27979
stencil2d,dynamic,1,8,2.95954
mandelbrot,dynamic,1,9,1.22695
stencil2d,dynamic,1,9,2.9704
