algorithm,omp_proc_bind,omp_places,replication,time
mandelbrot,TRUE,sockets,1,1.22525
stencil2d,TRUE,sockets,1,2.90396
mandelbrot,TRUE,sockets,2,1.22636
stencil2d,TRUE,sockets,2,2.89881
mandelbrot,TRUE,sockets,3,1.22632
stencil2d,TRUE,sockets,3,2.88726
mandelbrot,TRUE,sockets,4,1.22537
stencil2d,TRUE,sockets,4,2.89385
mandelbrot,TRUE,sockets,5,1.2264
stencil2d,TRUE,sockets,5,2.91152
mandelbrot,TRUE,sockets,6,1.2251
stencil2d,TRUE,sockets,6,2.94642
mandelbrot,TRUE,sockets,7,1.27653
stencil2d,TRUE,sockets,7,2.91829
mandelbrot,TRUE,sockets,8,1.22555
stencil2d,TRUE,sockets,8,2.91706
mandelbrot,TRUE,sockets,9,1.22739
stencil2d,TRUE,sockets,9,2.86503
mandelbrot,TRUE,sockets,10,1.22525
stencil2d,TRUE,sockets,10,2.88374
mandelbrot,TRUE,cores,1,1.2263
stencil2d,TRUE,cores,1,2.92663
mandelbrot,TRUE,cores,2,1.22667
stencil2d,TRUE,cores,2,2.90933
mandelbrot,TRUE,cores,3,1.22546
stencil2d,TRUE,cores,3,2.94317
mandelbrot,TRUE,cores,4,1.25084
stencil2d,TRUE,cores,4,2.93443
mandelbrot,TRUE,cores,5,1.2362
stencil2d,TRUE,cores,5,2.90552
mandelbrot,TRUE,cores,6,1.2259
stencil2d,TRUE,cores,6,2.92273
mandelbrot,TRUE,cores,7,1.22652
stencil2d,TRUE,cores,7,2.91457
mandelbrot,TRUE,cores,8,1.22664
stencil2d,TRUE,cores,8,2.89991
mandelbrot,TRUE,cores,9,1.22612
stencil2d,TRUE,cores,9,2.88035
mandelbrot,TRUE,cores,10,1.22732
stencil2d,TRUE,cores,10,2.93865
mandelbrot,TRUE,threads,1,2.18513
stencil2d,TRUE,threads,1,3.48117
mandelbrot,TRUE,threads,2,2.18088
stencil2d,TRUE,threads,2,3.46439
mandelbrot,TRUE,threads,3,2.18041
stencil2d,TRUE,threads,3,3.4956
mandelbrot,TRUE,threads,4,2.18114
stencil2d,TRUE,threads,4,3.53598
mandelbrot,TRUE,threads,5,2.18459
