algorithm,first_touch,omp_num_threads,replication,time
stencil2d,1,8,1,3.43513
stencil2d,1,8,2,3.41846
stencil2d,1,8,3,3.39759
stencil2d,1,8,4,3.429
stencil2d,1,8,5,3.38302
stencil2d,1,8,6,3.42238
stencil2d,1,8,7,3.376
stencil2d,1,8,8,3.39839
stencil2d,1,8,9,3.41846
stencil2d,1,8,10,3.43141
stencil2d,1,16,1,3.135
stencil2d,1,16,2,3.1185
stencil2d,1,16,3,3.13566
stencil2d,1,16,4,3.08959
stencil2d,1,16,5,3.13959
stencil2d,1,16,6,3.10703
stencil2d,1,16,7,3.12139
stencil2d,1,16,8,3.12761
stencil2d,1,16,9,3.12877
stencil2d,1,16,10,3.1214
stencil2d,1,20,1,2.92228
stencil2d,1,20,2,2.9043
stencil2d,1,20,3,2.88539
stencil2d,1,20,4,2.91509
stencil2d,1,20,5,2.90074
stencil2d,1,20,6,2.90186
stencil2d,1,20,7,2.86297
stencil2d,1,20,8,2.9057
stencil2d,1,20,9,2.94724
stencil2d,1,20,10,2.93347
stencil2d,1,32,1,2.9959
stencil2d,1,32,2,3.01195
stencil2d,1,32,3,2.97261
stencil2d,1,32,4,2.99869
stencil2d,1,32,5,2.97561
stencil2d,1,32,6,2.99632
stencil2d,1,32,7,3.00743
stencil2d,1,32,8,2.98885
stencil2d,1,32,9,3.00031
stencil2d,1,32,10,3.04187
stencil2d,1,40,1,3.37274
stencil2d,1,40,2,3.36868
stencil2d,1,40,3,3.09272
stencil2d,1,40,4,3.00698
stencil2d,1,40,5,3.03205
stencil2d,1,40,6,3.01657
stencil2d,1,40,7,3.0392
stencil2d,1,40,8,3.02532
stencil2d,1,40,9,3.3983
stencil2d,1,40,10,3.34756
stencil2d,0,8,1,3.86379
stencil2d,0,8,2,3.84106
stencil2d,0,8,3,3.86545
stencil2d,0,8,4,3.89019
stencil2d,0,8,5,3.86768
stencil2d,0,8,6,3.84767
stencil2d,0,8,7,3.90819
stencil2d,0,8,8,3.87015
stencil2d,0,8,9,3.85333
stencil2d,0,8,10,3.88619
stencil2d,0,16,1,3.56125
stencil2d,0,16,2,3.50844
stencil2d,0,16,3,3.56618
stencil2d,0,16,4,3.51153
stencil2d,0,16,5,3.54493
stencil2d,0,16,6,3.59098
stencil2d,0,16,7,3.55239
stencil2d,0,16,8,3.56012
stencil2d,0,16,9,3.32129
stencil2d,0,16,10,3.55797
stencil2d,0,20,1,3.51589
stencil2d,0,20,2,3.51703
stencil2d,0,20,3,3.45812
stencil2d,0,20,4,3.29132
stencil2d,0,20,5,3.43651
stencil2d,0,20,6,3.28203
stencil2d,0,20,7,3.47454
stencil2d,0,20,8,3.53813
stencil2d,0,20,9,3.54166
stencil2d,0,20,10,3.47096
stencil2d,0,32,1,3.53842
stencil2d,0,32,2,3.49298
stencil2d,0,32,3,3.46115
stencil2d,0,32,4,3.50207
stencil2d,0,32,5,3.48075
stencil2d,0,32,6,3.46441
stencil2d,0,32,7,3.54745
stencil2d,0,32,8,3.5132
stencil2d,0,32,9,3.47561
stencil2d,0,32,10,3.5399
stencil2d,0,40,1,3.70693
stencil2d,0,40,2,3.97268
stencil2d,0,40,3,3.48603
stencil2d,0,40,4,3.56071
stencil2d,0,40,5,3.59062
stencil2d,0,40,6,3.60836
stencil2d,0,40,7,3.55452
stencil2d,0,40,8,3.55666
stencil2d,0,40,9,3.60627
stencil2d,0,40,10,3.92355
